,money without ess,money with threshold ess
1,125,750
2,258,1548
3,407,2442
4,576,2442
5,817,2442
6,1065,2442
7,1282,2442
8,1282,2442
9,1457,2442
10,1610,2442
11,1758,3330
12,2042,4324
13,2344,4324
14,2513,4324
15,2711,4324
16,2951,4324
17,3405,4324
18,3737,4324
19,4178,5500
20,4326,6388
21,4458,6520
22,4590,6652
23,4715,6777
24,4836,6898
25,4961,7023
26,5094,7156
27,5243,7305
28,5412,7305
29,5653,7305
30,5901,7305
31,6118,7305
32,6118,7305
33,6293,7305
34,6446,7305
35,6594,8193
36,6878,8477
37,7180,8477
38,7349,8477
39,7547,8477
40,7787,8477
41,8241,8477
42,8573,8477
43,9014,9653
44,9162,10541
45,9294,10673
46,9426,10805
47,9551,10930
48,9672,11051
49,9797,11176
50,9930,11309
51,10079,11458
52,10248,11458
53,10489,11458
54,10737,11458
55,10954,11458
56,10954,11458
57,11129,11458
58,11282,11458
59,11430,12346
60,11714,12630
61,12016,12630
62,12185,12630
63,12383,12630
64,12623,12630
65,13077,12630
66,13409,12630
67,13850,13806
68,13998,14694
69,14130,14826
70,14262,14958
71,14387,15083
72,14508,15204
73,14633,15329
74,14766,15462
75,14915,15611
76,15084,15611
77,15325,15611
78,15573,15611
79,15790,15611
80,15790,15611
81,15965,15611
82,16118,15611
83,16266,16499
84,16550,16783
85,16852,16783
86,17021,16783
87,17219,16783
88,17459,16783
89,17913,16783
90,18245,16783
91,18686,17959
92,18834,18847
93,18966,18979
94,19098,19111
95,19223,19236
96,19344,19357
97,19469,19482
98,19602,19615
99,19751,19764
100,19920,19764
101,20161,19764
102,20409,19764
103,20626,19764
104,20626,19764
105,20801,19764
106,20954,19764
107,21102,20652
108,21386,20936
109,21688,20936
110,21857,20936
111,22055,20936
112,22295,20936
113,22749,20936
114,23081,20936
115,23522,22112
116,23670,23000
117,23802,23132
118,23934,23264
119,24059,23389
120,24180,23510
121,24305,23635
122,24438,23768
123,24587,23917
124,24756,23917
125,24997,23917
126,25245,23917
127,25462,23917
128,25462,23917
129,25637,23917
130,25790,23917
131,25938,24805
132,26222,25089
133,26524,25089
134,26693,25089
135,26891,25089
136,27131,25089
137,27585,25089
138,27917,25089
139,28358,26265
140,28506,27153
141,28638,27285
142,28770,27417
143,28895,27542
144,29016,27663
145,29141,27788
146,29274,27921
147,29423,28070
148,29592,28070
149,29833,28070
150,30081,28070
151,30298,28070
152,30298,28070
153,30473,28070
154,30626,28070
155,30774,28958
156,31058,29242
157,31360,29242
158,31529,29242
159,31727,29242
160,31967,29242
161,32421,29242
162,32753,29242
163,33194,30418
164,33342,31306
165,33474,31438
166,33606,31570
167,33731,31695
168,33852,31816
